rank,team,conference,power_rating,record,wins,losses,off_rating,def_rating,srs,epa_rating,games,blend_weight
1,Ohio State,,29.8,12-1,12,1,41.9,9.7,26.3,32.2,12,1.0
2,Indiana,,29.3,13-0,13,0,44.9,12.5,24.6,32.4,12,1.0
3,Oregon,,28.2,11-1,11,1,42.9,9.5,20.3,33.4,11,1.0
4,Notre Dame,,26.7,10-2,10,2,40.7,11.3,22.7,29.4,12,1.0
5,Texas Tech,,24.9,12-1,12,1,32.7,8.8,26.4,23.8,12,1.0
6,Miami,,23.0,10-2,10,2,36.4,11.6,20.4,24.8,11,1.0
7,Utah,,22.3,10-2,10,2,41.2,18.1,21.1,23.1,11,1.0
8,Vanderbilt,,20.9,10-2,10,2,49.9,26.5,17.1,23.4,11,1.0
9,Georgia,,20.7,12-1,12,1,37.2,15.0,18.6,22.1,12,1.0
10,Texas A&M,,19.6,11-1,11,1,41.4,20.7,17.8,20.8,11,1.0
11,Alabama,,19.6,10-3,10,3,38.0,14.8,14.4,23.2,12,1.0
12,Ole Miss,,18.4,11-1,11,1,42.4,21.7,15.1,20.7,11,1.0
13,Washington,,18.1,8-4,8,4,37.8,16.3,12.9,21.6,11,1.0
14,USC,,18.0,9-3,9,3,43.1,22.8,14.6,20.3,12,1.0
15,Oklahoma,,17.1,10-2,10,2,26.4,7.3,14.2,19.1,11,1.0
16,BYU,,16.6,11-2,11,2,33.9,17.3,16.6,16.5,12,1.0
17,Missouri,,16.1,8-4,8,4,31.5,11.6,10.3,19.9,11,1.0
18,SMU,,15.6,8-4,8,4,35.4,16.9,11.3,18.5,11,1.0
19,Penn State,,15.0,6-6,6,6,37.7,20.4,11.5,17.3,11,1.0
20,Tennessee,,14.7,8-4,8,4,41.4,23.8,10.3,17.6,11,1.0
21,South Florida,,14.1,9-3,9,3,36.8,22.4,13.6,14.4,11,1.0
22,Iowa,,14.1,8-4,8,4,27.3,12.9,13.8,14.3,11,1.0
23,Auburn,,13.4,5-7,5,7,29.4,12.3,7.8,17.2,11,1.0
24,Michigan,,13.0,9-3,9,3,33.1,18.7,10.8,14.4,12,1.0
25,Texas,,12.6,9-3,9,3,30.5,17.2,11.7,13.3,12,1.0
26,Arizona,,12.2,9-3,9,3,28.6,17.0,13.2,11.6,11,1.0
27,James Madison,,11.9,12-1,12,1,27.0,14.6,11.1,12.4,12,1.0
28,Kansas State,,10.3,6-6,6,6,31.7,20.4,8.6,11.4,11,1.0
